Zespol,Slupek,Lines,RealTime,TimeTable
3003,02,222,2024-01-18 12:25:02,12:24:00
3004,01,222,2024-01-18 12:39:02,12:37:00
3005,02,141,2024-01-18 12:42:01,12:41:00
3007,02,218,2024-01-18 11:55:43,11:54:00
3007,02,218,2024-01-18 11:56:30,11:54:00
3007,02,218,2024-01-18 11:58:36,11:54:00
3007,02,218,2024-01-18 11:59:23,11:54:00
3007,02,218,2024-01-18 12:00:27,11:54:00
3007,02,218,2024-01-18 12:01:30,11:54:00
3007,02,218,2024-01-18 12:01:30,12:09:00
3007,02,218,2024-01-18 12:04:38,12:09:00
3007,02,218,2024-01-18 12:05:41,12:09:00
3007,02,218,2024-01-18 12:06:28,12:09:00
3007,02,218,2024-01-18 12:07:32,12:09:00
3009,16,218,2024-01-18 11:47:35,11:49:00
3019,01,709,2024-01-18 12:00:40,11:59:00
3019,01,739,2024-01-18 12:07:37,12:05:00
3020,01,709,2024-01-18 11:52:34,11:51:00
3022,01,709,2024-01-18 12:32:56,12:31:00
3022,01,709,2024-01-18 11:54:27,11:51:00
3022,01,709,2024-01-18 11:54:27,12:01:00
3022,01,709,2024-01-18 11:45:31,11:41:00
3022,01,709,2024-01-18 11:45:31,11:51:00
3032,01,116,2024-01-18 12:36:07,12:32:00
3032,01,116,2024-01-18 12:36:07,12:42:00
3033,51,519,2024-01-18 12:33:52,12:32:00
3035,01,522,2024-01-18 11:45:32,11:40:00
3039,04,108,2024-01-18 12:01:31,11:55:00
3041,01,139,2024-01-18 12:10:34,12:12:00
3044,07,116,2024-01-18 12:19:00,12:15:00
3044,07,116,2024-01-18 12:19:00,12:25:00
3044,07,116,2024-01-18 12:22:58,12:15:00
3044,07,116,2024-01-18 12:22:58,12:25:00
3044,07,116,2024-01-18 11:58:37,11:55:00
3044,07,116,2024-01-18 11:58:37,12:05:00
3044,07,116,2024-01-18 11:59:32,11:55:00
3044,07,116,2024-01-18 11:59:32,12:05:00
3044,07,116,2024-01-18 12:00:39,11:55:00
3044,07,116,2024-01-18 12:00:39,12:05:00
3044,07,116,2024-01-18 12:01:34,11:55:00
3044,07,116,2024-01-18 12:01:34,12:05:00
3044,07,116,2024-01-18 12:36:57,12:35:00
3044,07,116,2024-01-18 12:36:57,12:45:00
3044,07,116,2024-01-18 12:39:03,12:35:00
3044,07,116,2024-01-18 12:39:03,12:45:00
3044,07,116,2024-01-18 12:40:08,12:35:00
3044,07,116,2024-01-18 12:40:08,12:45:00
3044,03,264,2024-01-18 12:28:56,12:33:00
3044,06,317,2024-01-18 12:07:40,12:14:00
3044,06,317,2024-01-18 12:09:48,12:14:00
3044,06,317,2024-01-18 12:11:50,12:14:00
3044,71,519,2024-01-18 12:30:56,12:35:00
3044,71,519,2024-01-18 12:32:02,12:35:00
3044,71,519,2024-01-18 12:32:55,12:35:00
3046,01,264,2024-01-18 12:36:58,12:38:00
3050,04,251,2024-01-18 11:55:43,11:57:00
3058,01,131,2024-01-18 12:05:36,11:58:00
3058,01,131,2024-01-18 12:05:36,12:13:00
3059,02,131,2024-01-18 12:15:48,12:09:00
3059,02,131,2024-01-18 12:15:48,12:17:00
3059,02,131,2024-01-18 12:15:48,12:24:00
3059,01,180,2024-01-18 12:11:47,12:09:00
3060,01,131,2024-01-18 12:09:48,12:08:00
3060,01,131,2024-01-18 12:09:48,12:16:00
3064,04,108,2024-01-18 12:28:56,12:27:00
3065,05,131,2024-01-18 12:06:33,12:00:00
3065,05,131,2024-01-18 12:06:33,12:08:00
3065,05,131,2024-01-18 12:07:43,12:00:00
3065,05,131,2024-01-18 12:07:43,12:15:00
3065,05,131,2024-01-18 12:08:39,12:15:00
3065,05,131,2024-01-18 12:09:45,12:08:00
3065,05,131,2024-01-18 12:09:45,12:15:00
3065,05,131,2024-01-18 12:11:47,12:08:00
3065,05,131,2024-01-18 12:11:47,12:15:00
3065,05,131,2024-01-18 12:13:51,12:08:00
3065,05,131,2024-01-18 12:13:51,12:15:00
3065,05,131,2024-01-18 12:14:57,12:08:00
3065,05,131,2024-01-18 11:50:30,11:45:00
3065,05,131,2024-01-18 11:53:43,12:00:00
3065,02,189,2024-01-18 12:07:43,12:06:00
3065,02,189,2024-01-18 12:07:43,12:16:00
3067,02,131,2024-01-18 12:22:59,12:21:00
3071,01,167,2024-01-18 12:22:59,12:18:00
3079,03,162,2024-01-18 12:21:52,12:16:00
3079,05,164,2024-01-18 12:07:40,12:11:00
3088,02,107,2024-01-18 12:05:40,12:04:00
3090,02,162,2024-01-18 12:18:59,12:20:00
3092,01,164,2024-01-18 11:56:38,11:55:00
3092,02,263,2024-01-18 12:34:03,12:33:00
3094,02,185,2024-01-18 11:48:38,11:45:00
3097,02,189,2024-01-18 11:51:39,11:49:00
3097,02,189,2024-01-18 11:51:39,11:59:00
3098,02,185,2024-01-18 12:19:54,12:21:00
3098,03,401,2024-01-18 12:09:46,12:08:00
3100,01,401,2024-01-18 12:05:41,12:11:00
3100,02,401,2024-01-18 12:45:08,12:47:00
3120,05,179,2024-01-18 12:36:07,12:35:00
3120,05,179,2024-01-18 12:37:01,12:35:00
3120,05,179,2024-01-18 12:37:01,12:45:00
3120,05,179,2024-01-18 12:38:08,12:35:00
3120,05,179,2024-01-18 12:38:08,12:45:00
3120,05,179,2024-01-18 12:39:00,12:35:00
3120,05,179,2024-01-18 12:39:00,12:45:00
3120,02,185,2024-01-18 12:34:55,12:33:00
3120,04,193,2024-01-18 11:59:32,11:56:00
3120,06,193,2024-01-18 12:23:57,12:27:00
3120,06,193,2024-01-18 12:25:55,12:27:00
3121,03,193,2024-01-18 12:07:45,12:04:00
3122,01,179,2024-01-18 12:36:05,12:34:00
3122,01,179,2024-01-18 12:36:05,12:44:00
3122,02,185,2024-01-18 12:32:03,12:30:00
3129,02,179,2024-01-18 12:09:47,12:04:00
3129,02,179,2024-01-18 12:09:47,12:14:00
3132,02,179,2024-01-18 12:05:40,12:01:00
3132,02,179,2024-01-18 12:05:40,12:11:00
3159,01,164,2024-01-18 11:54:36,11:57:00
3159,01,164,2024-01-18 11:55:43,11:57:00
3160,02,L39,2024-01-18 12:19:00,12:13:00
3163,02,727,2024-01-18 11:52:26,11:50:00
3164,01,724,2024-01-18 12:07:41,12:06:00
3165,01,L-3,2024-01-18 12:17:54,12:10:00
3165,01,L39,2024-01-18 12:22:59,12:19:00
3172,02,L12,2024-01-18 12:32:04,12:28:00
3177,02,710,2024-01-18 12:31:56,12:28:00
